"munA","munB","cdA","cdB","vias","vdm","od","ibge","z_vias","z_vdm","z_od","z_ibge","n_fontes","peso_final"
"Uchoa","Tabapuã","3555604","3552601",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Catanduva","Tabapuã","3511102","3552601",1,NA,NA,150,-1.40227979035003,NA,NA,0.644288522070728,2,0.397309164626798
"Marabá Paulista","Mirante do Paranapanema","3528700","3530201",13,NA,NA,13,2.37514429910722,NA,NA,-1.6233717488674,2,0.537642655896474
"Santo Anastácio","Mirante do Paranapanema","3547700","3530201",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Teodoro Sampaio","Mirante do Paranapanema","3554300","3530201",6,NA,NA,61,1.02959868968757,NA,NA,-0.204474564740497,2,0.544460730646002
"Sandovalina","Mirante do Paranapanema","3545506","3530201",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Presidente Bernardes","Mirante do Paranapanema","3541208","3530201",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Capela do Alto","Araçoiaba da Serra","3510302","3502903",9,NA,NA,181,1.72198036311379,NA,NA,0.822334545339949,2,0.704260589305208
"Sarapuí","Araçoiaba da Serra","3551108","3502903",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Iperó","Araçoiaba da Serra","3521002","3502903",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Sorocaba","Araçoiaba da Serra","3552205","3502903",4,NA,NA,NA,0.37643475369414,NA,NA,NA,1,0.537744618749556
"Salto de Pirapora","Araçoiaba da Serra","3545308","3502903",5,NA,NA,NA,0.730359543590107,NA,NA,NA,1,0.603539679942246
"Monte Aprazível","União Paulista","3531407","3555703",3,NA,NA,28,-0.0567341809303825,NA,NA,-0.92898864969983,2,0.376141373463047
"Nipoã","União Paulista","3532702","3555703",2,NA,NA,NA,-0.615186065829541,NA,NA,NA,1,0.353401067907346
"Planalto","União Paulista","3539608","3555703",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Macaubal","União Paulista","3528106","3555703",1,NA,NA,28,-1.40227979035003,NA,NA,-0.92898864969983,2,0.251072067445597
"Pontes Gestal","Palestina","3540309","3535002",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Nova Granada","Palestina","3533007","3535002",5,NA,NA,72,0.730359543590107,NA,NA,-0.0487423992879486,2,0.531121667033242
"Orindiúva","Palestina","3534203","3535002",1,NA,NA,28,-1.40227979035003,NA,NA,-0.92898864969983,2,0.251072067445597
"Mirassolândia","Palestina","3530409","3535002",1,NA,NA,NA,-1.40227979035003,NA,NA,NA,1,0.207079359884491
"Paulo de Faria","Palestina","3536604","3535002",1,NA,NA,28,-1.40227979035003,NA,NA,-0.92898864969983,2,0.251072067445597
"Tanabi","Palestina","3553401","3535002",4,NA,NA,NA,0.37643475369414,NA,NA,NA,1,0.537744618749556
"Embaúba","Novais","3514957","3533254",2,NA,NA,50,-0.615186065829541,NA,NA,-0.390703522234385,2,0.374266860745529
"Catanduva","Novais","3511102","3533254",2,NA,NA,50,-0.615186065829541,NA,NA,-0.390703522234385,2,0.374266860745529
"Tabapuã","Novais","3552601","3533254",4,NA,NA,NA,0.37643475369414,NA,NA,NA,1,0.537744618749556
"Jacareí","Igaratá","3524402","3520202",2,NA,NA,341,-0.615186065829541,NA,NA,1.42381286730908,2,0.542927294110827
"Santa Isabel","Igaratá","3546801","3520202",3,4552,NA,187,-0.0567341809303825,-1.10341136615311,NA,0.853261923236543,3,0.448748243935099
"São José dos Campos","Igaratá","3549904","3520202",2,NA,NA,41,-0.615186065829541,NA,NA,-0.57583333198876,2,0.357058929132487
"Nazaré Paulista","Igaratá","3532405","3520202",4,NA,NA,76,0.37643475369414,NA,NA,0.00212355656496556,2,0.502952158849442
"Barueri","Jandira","3505708","3525003",10,NA,67994.3301635569,NA,1.90699762577524,NA,0.738587002725912,NA,2,0.713673673126555
"Itapevi","Jandira","3522505","3525003",11,NA,36821.4970195551,NA,2.07590515300976,NA,0.411212322445939,NA,2,0.698944052131763
"Bebedouro","Terra Roxa","3506102","3554409",3,NA,NA,70,-0.0567341809303825,NA,NA,-0.0752305069729479,2,0.455498726844515
"Viradouro","Terra Roxa","3556800","3554409",4,NA,NA,131,0.37643475369414,NA,NA,0.51606241097661,2,0.550723096829309
"Jaborandi","Terra Roxa","3524204","3554409",1,NA,NA,40,-1.40227979035003,NA,NA,-0.598810601851983,2,0.28176232351528
"Taquaritinga","Fernando Prestes","3553708","3515608",3,NA,NA,NA,-0.0567341809303825,NA,NA,NA,1,0.457217971919391
"Monte Alto","Fernando Prestes","3531308","3515608",4,NA,NA,6,0.37643475369414,NA,NA,-2.28429490408527,2,0.290428132805948
