"ID","COD_UF_A","UF_A","CODMUNDV_A","NOMEMUN_A","COD_UF_B","UF_B","CODMUNDV_B","NOMEMUN_B","VAR01","VAR02","VAR03","VAR04","VAR05","VAR06","VAR07","VAR08","VAR09","VAR10","VAR11","VAR12","VAR13","VAR14"
35458033550407,"35","SP",3545803,"Santa Bárbara d'Oeste","35","SP",3550407,"São Pedro","Integrante de Capital Regional A (Campinas)","Centro Local",16.4,60,0,56,56,-47.4139547663,-22.7553934999,-47.9140329973,-22.5488879998,0,"Não",0.273333333333333
35388083557204,"35","SP",3538808,"Piraju","35","SP",3557204,"Chavantes","Centro de Zona B","Centro Local",12.3,45,0,70,70,-49.3839744895,-23.1929914946,-49.7139361484,-23.0320056322,0,"Não",0.273333333333333
35290053548708,"35","SP",3529005,"Marília","35","SP",3548708,"São Bernardo do Campo","Capital Regional C","Integrante de Metrópole (São Paulo)",114.82,420,0,2,2,-49.9516456432,-22.2149330003,-46.5502572479,-23.7103044997,0,"Não",0.273380952380952
35293023543907,"35","SP",3529302,"Matão","35","SP",3543907,"Rio Claro","Centro de Zona B","Centro Subregional A",39.65,145,0,51,51,-48.3677476992,-21.6029945067,-47.5635332385,-22.4125114997,0,"Não",0.273448275862069
35177033550308,"35","SP",3517703,"Guará","35","SP",3550308,"São Paulo","Centro Local","Núcleo de Metrópole (São Paulo)",103.95,380,0,29,29,-47.8245929503,-20.4275570617,-46.5703831822,-23.5673865001,0,"Não",0.273552631578947
35471063550308,"35","SP",3547106,"Santa Mercedes","35","SP",3550308,"São Paulo","Centro Local","Núcleo de Metrópole (São Paulo)",155.95,570,0,14,14,-51.758974242,-21.3469107455,-46.5703831822,-23.5673865001,0,"Não",0.27359649122807
35162003550308,"35","SP",3516200,"Franca","35","SP",3550308,"São Paulo","Centro Subregional A","Núcleo de Metrópole (São Paulo)",90.3,330,0,153,153,-47.402331626,-20.5360970003,-46.5703831822,-23.5673865001,0,"Não",0.273636363636364
35253003550308,"35","SP",3525300,"Jaú","35","SP",3550308,"São Paulo","Centro Subregional A","Núcleo de Metrópole (São Paulo)",73.9,270,0,101,101,-48.558141388,-22.2957909897,-46.5703831822,-23.5673865001,0,"Não",0.273703703703704
35358043552205,"35","SP",3535804,"Paranapanema","35","SP",3552205,"Sorocaba","Centro Local","Núcleo de Capital Regional C (Sorocaba)",36.95,135,0,28,28,-48.7236769845,-23.3869279996,-47.4578532528,-23.499323,0,"Não",0.273703703703704
35269023530102,"35","SP",3526902,"Limeira","35","SP",3530102,"Mirandópolis","Centro Subregional A","Centro Local",120.43,440,0,7,7,-47.4019395234,-22.5621940001,-51.1056403917,-21.132086985,0,"Não",0.273704545454545
