"MUNI_O","MUNI_D","viagens"
14,18,444.6888448735
18,14,444.6888448735
18,24,444.6888448735
24,18,444.6888448735
26,29,438.7274635371
29,26,438.7274635371
4,32,426.5873778978
32,4,426.5873778978
24,35,420.8656397526
35,24,420.8656397526
11,34,420.5671228525
34,11,420.5671228525
25,2,420.1458353468
7,10,410.227419763
10,7,410.227419763
1,37,402.4005007889
37,1,402.4005007889
4,34,401.1625502847
34,4,401.1625502847
18,32,399.8230904713
32,18,399.8230904713
16,39,399.4255570841
39,16,399.4255570841
28,37,395.2968526324
37,28,395.2968526324
1,26,391.2751644851
26,1,391.2751644851
8,21,388.3131869083
21,8,388.3131869083
6,15,385.2954333276
15,6,385.2954333276
17,23,372.6450922929
23,17,372.6450922929
24,23,370.2210036645
36,35,350.7179098142
24,25,346.2156948424
25,24,346.2156948424
7,19,344.6980622317
2,3,331.7184809811
3,2,331.7184809811
20,22,328.7632482114
22,20,328.7632482114
15,26,328.4300270835
23,32,321.0721730761
32,23,321.0721730761
26,15,316.9425238556
9,20,316.1500426488
20,9,316.1500426488
18,33,313.329572426
33,18,313.329572426
14,30,308.4270546365
30,14,308.4270546365
7,12,305.0150797546
12,7,305.0150797546
24,26,301.8972108213
27,24,292.5063539658
18,22,286.5171993875
12,22,281.4712990573
22,12,281.4712990573
18,38,278.1563542464
38,18,278.1563542464
24,39,272.3563091634
39,24,272.3563091634
14,37,268.5189072252
37,14,268.5189072252
33,39,266.0289177347
39,33,266.0289177347
6,12,253.9718457808
12,6,253.9718457808
19,7,248.0585325582
24,33,244.477242069
33,24,244.477242069
7,32,227.0148300555
32,7,227.0148300555
6,22,223.3484134258
22,6,223.3484134258
22,23,222.1517573399
23,22,222.1517573399
3,36,214.1432518245
36,3,214.1432518245
7,15,213.9473052714
15,7,213.9473052714
4,22,209.270855952
22,4,209.270855952
9,18,193.6883416169
18,9,193.6883416169
19,22,192.3244015982
34,31,191.0957657779
6,25,185.8787576309
25,6,185.8787576309
14,22,168.8365847676
22,14,168.8365847676
11,32,166.9723803835
32,11,166.9723803835
26,27,157.100384923
27,26,157.100384923
26,32,155.7368293709
32,26,155.7368293709
15,25,135.7220066833
25,15,135.7220066833
2,33,131.5881133471
33,2,131.5881133471
18,34,120.7937182783
34,18,120.7937182783
4,33,107.479902308
33,4,107.479902308
22,2,99.9526568783
22,19,92.3717447199
33,35,90.9077200251
35,33,90.9077200251
35,38,72.7250423123
10,35,65.3825787455
35,10,65.3825787455
12,15,57.0218766312
15,12,57.0218766312
18,19,52.3167946906
19,18,52.3167946906
9,17,49.8262705915
3,14,48.1953560766
14,3,48.1953560766
9,35,43.4763404161
35,9,43.4763404161
13,25,37.4216169958
25,13,37.4216169958
4,6,29.819773295
6,4,29.819773295
38,35,22.4301160385
10,17,21.0708109467
17,10,21.0708109467
