"munA","munB","cdA","cdB","tipo","n_fontes","vias","vdm","od","ibge","prox","peso"
"Juquitiba","Peruíbe","3526209","3537602","proximidade",2,NA,NA,NA,14,0.0278401922460784,0.166903952375387
"Matão","Guariba","3529302","3518602","proximidade",1,NA,NA,NA,NA,0.0314724165595739,0.222019640946794
"Jaboticabal","Pradópolis","3524303","3540903","proximidade",2,NA,NA,NA,28,0.0396805437497726,0.235771394312908
"Jaboticabal","Sertãozinho","3524303","3551702","proximidade",2,NA,NA,NA,236,0.0323909261912385,0.300293270695456
"Jaboticabal","Dobrada","3524303","3514007","proximidade",2,NA,NA,NA,28,0.0295973429145224,0.201088372293534
"Ibaté","Descalvado","3519303","3513702","proximidade",1,NA,NA,NA,NA,0.0254481310288823,0.180327599379239
"Ibaté","Américo Brasiliense","3519303","3501707","proximidade",1,NA,NA,NA,NA,0.0394724328514954,0.277010231965106
"Ibaté","Santa Lúcia","3519303","3546900","proximidade",1,NA,NA,NA,NA,0.0320527695956023,0.226023201369153
"Ibaté","Brotas","3519303","3507902","proximidade",1,NA,NA,NA,NA,0.0276557819410197,0.195634368334282
"Ibaté","Trabiju","3519303","3554755","proximidade",1,NA,NA,NA,NA,0.0293476064533147,0.207342410908537
"Ibaté","Dourado","3519303","3514304","proximidade",1,NA,NA,NA,NA,0.0273002728216072,0.193171664989991
"Santa Rita d'Oeste","Rubinéia","3547403","3544509","proximidade",1,NA,NA,NA,NA,0.0364273602430018,0.256129031262422
"Santa Rita d'Oeste","Mesópolis","3547403","3529658","proximidade",1,NA,NA,NA,NA,0.0386174002984291,0.271153137268843
"Santa Rita d'Oeste","Santa Salete","3547403","3547650","proximidade",1,NA,NA,NA,NA,0.0489772144720382,0.341796807064508
"Santa Clara d'Oeste","Santa Albertina","3546108","3545704","proximidade",1,NA,NA,NA,NA,0.050321861572135,0.350914772750869
"Santa Clara d'Oeste","Santana da Ponte Pensa","3546108","3547205","proximidade",1,NA,NA,NA,NA,0.0407924539167407,0.286043110507786
"Santa Clara d'Oeste","Três Fronteiras","3546108","3554904","proximidade",1,NA,NA,NA,NA,0.0428175760375398,0.2998787361993
"Santa Clara d'Oeste","Santa Salete","3546108","3547650","proximidade",1,NA,NA,NA,NA,0.034395083684794,0.242158787855971
"Arandu","Tejupá","3503109","3554201","proximidade",1,NA,NA,NA,NA,0.0323986277347605,0.228408030295774
"Arandu","Piraju","3503109","3538808","proximidade",1,NA,NA,NA,NA,0.0322532924555249,0.22740598328964
"Arandu","Paranapanema","3503109","3535804","proximidade",1,NA,NA,NA,NA,0.0250409119194952,0.177500542205325
"Arandu","Manduri","3503109","3528601","proximidade",1,NA,NA,NA,NA,0.0350272394822309,0.246507282086847
"Arandu","Itaí","3503109","3521804","proximidade",1,NA,NA,NA,NA,0.0306742165718484,0.216509584040307
"Catiguá","Urupês","3511201","3556008","proximidade",1,NA,NA,NA,NA,0.0368112647952991,0.25876498549106
"Catiguá","Elisiário","3511201","3514924","proximidade",1,NA,NA,NA,NA,0.0857618925569028,0.587114590689661
"Catiguá","Ibirá","3511201","3519402","proximidade",1,NA,NA,NA,NA,0.0571569692253108,0.397083462550993
"Catiguá","Novais","3511201","3533254","proximidade",1,NA,NA,NA,NA,0.0614337224740132,0.42581981312007
"São Luiz do Paraitinga","Roseira","3550001","3544301","proximidade",1,NA,NA,NA,NA,0.0291077345593558,0.205683581194735
"São Luiz do Paraitinga","Ilhabela","3550001","3520400","proximidade",1,NA,NA,NA,NA,0.0147656433846778,0.105791856939217
"Arapeí","Queluz","3503158","3541901","proximidade",2,NA,NA,NA,1,0.0248560835822188,0.0706552932249222
"Arapeí","Cruzeiro","3503158","3513405","proximidade",1,NA,NA,NA,NA,0.0167004554798243,0.119349782181061
"Arapeí","Cachoeira Paulista","3503158","3508603","proximidade",2,NA,NA,NA,42,0.0175714255345965,0.176069464736883
"Arapeí","Lavrinhas","3503158","3526605","proximidade",1,NA,NA,NA,NA,0.0202970005449281,0.144483651937438
"Arapeí","Areias","3503158","3503505","proximidade",2,NA,NA,NA,43,0.035554083761567,0.239391959464448
"Arapeí","Silveiras","3503158","3552007","proximidade",2,NA,NA,NA,42,0.0238752497175388,0.198048130551102
"Taquaritinga","Vista Alegre do Alto","3553708","3556909","proximidade",1,NA,NA,NA,NA,0.033411928657615,0.235390545174468
"Taquaritinga","Santa Adélia","3553708","3545605","proximidade",2,NA,NA,NA,58,0.0316952744504549,0.238612248111661
"Nova Granada","Ipiguá","3533007","3521150","proximidade",1,NA,NA,NA,NA,0.0487120162372273,0.339997135014356
"Nova Granada","Orindiúva","3533007","3534203","proximidade",2,NA,NA,NA,42,0.0327337958925904,0.228706375587191
"Nova Granada","Guaraci","3533007","3517901","proximidade",1,NA,NA,NA,NA,0.0276811574856781,0.195810118698699
"Nova Granada","Paulo de Faria","3533007","3536604","proximidade",2,NA,NA,NA,42,0.0210586839765262,0.188244774438916
"Itapura","Pereira Barreto","3523008","3537404","proximidade",2,NA,NA,NA,21,0.027652328997297,0.182581555202354
"Itapura","Suzanápolis","3523008","3552551","proximidade",1,NA,NA,NA,NA,0.0246382931005054,0.17470431748837
"Itapura","Andradina","3523008","3502101","proximidade",2,NA,NA,NA,63,0.034277992025348,0.250978135310183
"Itapura","Sud Mennucci","3523008","3552304","proximidade",1,NA,NA,NA,NA,0.0175184929984932,0.125074306963876
"Embaúba","Olímpia","3514957","3533908","proximidade",1,NA,NA,NA,NA,0.0335050118678751,0.236031625158615
"Embaúba","Catanduva","3514957","3511102","proximidade",2,NA,NA,NA,50,0.0426992548138544,0.27015701901655
"Embaúba","Monte Azul Paulista","3514957","3531506","proximidade",1,NA,NA,NA,NA,0.0555839904606805,0.386485055948858
"Embaúba","Tabapuã","3514957","3552601","proximidade",1,NA,NA,NA,NA,0.0525296238476548,0.365860180056646
"Conchas","Pardinho","3512308","3536109","proximidade",1,NA,NA,NA,NA,0.0253724169549994,0.179802050827415
"Conchas","Jumirim","3512308","3525854","proximidade",2,NA,NA,NA,94,0.0328593088226823,0.262933082766649
"Rio Claro","Leme","3543907","3526704","proximidade",1,NA,NA,NA,NA,0.0298356894085615,0.21071654651011
"Rio Claro","Santa Cruz da Conceição","3543907","3546207","proximidade",1,NA,NA,NA,NA,0.0337608439735645,0.23779328723432
"Rio Claro","Cordeirópolis","3543907","3512407","proximidade",2,NA,NA,NA,567,0.0484199297202058,0.392386921973215
"Rio Claro","Charqueada","3543907","3511706","proximidade",2,NA,NA,NA,28,0.0410583225928635,0.240484377483873
"Rio Claro","Analândia","3543907","3502002","proximidade",2,NA,NA,NA,70,0.0335800084723786,0.253000835222297
"Chavantes","Sarutaiá","3557204","3551207","proximidade",1,NA,NA,NA,NA,0.0291002990146694,0.205632154642613
"Chavantes","Timburi","3557204","3554607","proximidade",1,NA,NA,NA,NA,0.0489406116958647,0.341548442609066
"Chavantes","Bernardino de Campos","3557204","3506300","proximidade",2,NA,NA,NA,57,0.0413776436527665,0.271126759274528
"Chavantes","Salto Grande","3557204","3545407","proximidade",1,NA,NA,NA,NA,0.0322818941951061,0.227603195612354
"Bento de Abreu","Mirandópolis","3506201","3530102","proximidade",2,NA,NA,NA,42,0.0253081914519648,0.2030252911925
"Bento de Abreu","Gabriel Monteiro","3506201","3516507","proximidade",1,NA,NA,NA,NA,0.0276831719812436,0.195824070856827
"Bento de Abreu","Lavínia","3506201","3526506","proximidade",2,NA,NA,NA,42,0.0372348124471559,0.244183184798281
"Bento de Abreu","Adamantina","3506201","3500105","proximidade",1,NA,NA,NA,NA,0.0294500248789685,0.208050565907562
"Bento de Abreu","Araçatuba","3506201","3502804","proximidade",2,NA,NA,NA,42,0.025961099582706,0.205290787229044
"Bento de Abreu","Guararapes","3506201","3518206","proximidade",2,NA,NA,NA,35,0.0551357140618067,0.297502980337826
"Registro","Cananéia","3542602","3509908","proximidade",2,NA,NA,NA,91,0.0166392194926055,0.205233913892182
"Registro","Ilha Comprida","3542602","3520426","proximidade",2,NA,NA,NA,103,0.024526322413475,0.237963523025798
"Santa Albertina","Dolcinópolis","3545704","3514205","proximidade",2,NA,NA,NA,14,0.0418921030458958,0.215227829833908
"Santa Albertina","Mesópolis","3545704","3529658","proximidade",1,NA,NA,NA,NA,0.0747623606457137,0.514640512607654
"Santa Albertina","Populina","3545704","3540408","proximidade",1,NA,NA,NA,NA,0.0398435050314471,0.279550630227019
"Piedade","Miracatu","3537800","3529906","proximidade",1,NA,NA,NA,NA,0.0220130413305386,0.156444718968825
"Piedade","Alumínio","3537800","3501152","proximidade",1,NA,NA,NA,NA,0.0308878034814374,0.217984414566079
"Piedade","Sorocaba","3537800","3552205","proximidade",2,NA,NA,NA,279,0.0279843634731066,0.292178876490184
"Piedade","Araçoiaba da Serra","3537800","3502903","proximidade",1,NA,NA,NA,NA,0.0288693510660375,0.204034661383421
"Rubiácea","Gabriel Monteiro","3544400","3516507","proximidade",1,NA,NA,NA,NA,0.0361122321035811,0.253964577852431
"Rubiácea","Lavínia","3544400","3526506","proximidade",1,NA,NA,NA,NA,0.0287811886945683,0.203424737647697
"Rubiácea","Araçatuba","3544400","3502804","proximidade",1,NA,NA,NA,NA,0.02841595680017,0.200897438350633
"Rubiácea","Bilac","3544400","3506409","proximidade",1,NA,NA,NA,NA,0.030525800076862,0.215484579182522
"Águas de Santa Bárbara","Paulistânia","3500550","3536570","proximidade",1,NA,NA,NA,NA,0.0308151560612767,0.217482814030766
"Águas de Santa Bárbara","Avaré","3500550","3504503","proximidade",2,NA,NA,NA,111,0.0223505142680371,0.23355702980773
"Águas de Santa Bárbara","Bernardino de Campos","3500550","3506300","proximidade",1,NA,NA,NA,NA,0.0327782015172209,0.231024422569243
"Águas de Santa Bárbara","Espírito Santo do Turvo","3500550","3515194","proximidade",1,NA,NA,NA,NA,0.0366672207010282,0.257776068557521
"São João das Duas Pontes","Vitória Brasil","3549201","3556958","proximidade",1,NA,NA,NA,NA,0.0389624296216044,0.273517217324134
"São João das Duas Pontes","Meridiano","3549201","3529609","proximidade",1,NA,NA,NA,NA,0.0484418608296063,0.338163354899627
"São João das Duas Pontes","Jales","3549201","3524808","proximidade",1,NA,NA,NA,NA,0.0444826181495371,0.311234184643007
"São João das Duas Pontes","General Salgado","3549201","3516903","proximidade",1,NA,NA,NA,NA,0.0388198035515984,0.27254006385761
"Macatuba","Areiópolis","3528007","3503604","proximidade",1,NA,NA,NA,NA,0.0573177107843338,0.398165617817036
"Macatuba","Mineiros do Tietê","3528007","3529807","proximidade",1,NA,NA,NA,NA,0.0337788009116151,0.237916922488967
"Macatuba","São Manuel","3528007","3550100","proximidade",1,NA,NA,NA,NA,0.0351849181358386,0.247591513381053
